"FID","SUBTYPE","JURISDICTI","OWNER","LOCAL_ID","FACILITYID","Lat","Long","Subbasin","Shape_Le_2","Shape_Area"
"35682.0","0.0"," ","City of Grand Haven DPW","45189"," ","43.0576457867","-86.1989371035","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35683.0","0.0"," ","City of Grand Haven DPW","45190"," ","43.0576698802","-86.1991046955","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35684.0","0.0"," ","City of Grand Haven DPW","45191"," ","43.0566772135","-86.1989074029","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35685.0","0.0"," ","City of Grand Haven DPW","45192"," ","43.0566862418","-86.1987917674","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35686.0","0.0"," ","City of Grand Haven DPW","45193"," ","43.0561798694","-86.1986939155","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35687.0","0.0"," ","City of Grand Haven DPW","45194"," ","43.0561743013","-86.1988135181","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35688.0","0.0"," ","City of Grand Haven DPW","45195"," ","43.0547146722","-86.1985686332","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35689.0","0.0"," ","City of Grand Haven DPW","45196"," ","43.0546068214","-86.1986926322","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35690.0","0.0"," ","City of Grand Haven DPW","45197"," ","43.0549857348","-86.1987830984","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35691.0","0.0"," ","City of Grand Haven DPW","45198"," ","43.0548887217","-86.1987661489","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35692.0","0.0"," ","City of Grand Haven DPW","45199"," ","43.0548746043","-86.2008501195","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35693.0","0.0"," ","City of Grand Haven DPW","45200"," ","43.054986532","-86.2007177693","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35694.0","0.0"," ","City of Grand Haven DPW","45201"," ","43.0556335016","-86.1958710751","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35695.0","0.0"," ","City of Grand Haven DPW","45202"," ","43.0555564903","-86.1958339182","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35696.0","0.0"," ","City of Grand Haven DPW","45203"," ","43.0566824343","-86.195652621","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35697.0","0.0"," ","City of Grand Haven DPW","45204"," ","43.0567053907","-86.1958168525","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35698.0","0.0"," ","City of Grand Haven DPW","45205"," ","43.0566169771","-86.1957757495","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35699.0","0.0"," ","City of Grand Haven DPW","45206"," ","43.0577204204","-86.1983659907","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35700.0","0.0"," ","City of Grand Haven DPW","45207"," ","43.0576582114","-86.198362123","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35701.0","0.0"," ","City of Grand Haven DPW","45208"," ","43.0594258048","-86.1988998336","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35702.0","0.0"," ","City of Grand Haven DPW","45209"," ","43.0593632896","-86.1989595166","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
