"FID","SUBTYPE","JURISDICTI","OWNER","Source","LOCAL_ID","FACILITYID","Lat","Long","Subbasin"
"182.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C128","42.7891363475","-85.5193059621","Lower Thornapple River"
"183.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C022","42.7879785437","-85.5152832019","Lower Thornapple River"
"184.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C021","42.7880455126","-85.5151880419","Lower Thornapple River"
"185.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C019","42.7877797585","-85.5146613236","Lower Thornapple River"
"186.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C020","42.7878420851","-85.5147682633","Lower Thornapple River"
"187.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C076","42.789333174","-85.5149636418","Lower Thornapple River"
"188.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C075","42.789202509","-85.5149677792","Lower Thornapple River"
"189.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C135","42.7891888757","-85.5161813761","Lower Thornapple River"
"190.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C134","42.7891239201","-85.5164570784","Lower Thornapple River"
"191.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C136","42.789085092","-85.5165966679","Lower Thornapple River"
"192.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C133","42.7892807234","-85.5166407891","Lower Thornapple River"
"193.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","6008","42.7896687093","-85.5160307758","Lower Thornapple River"
"194.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C132","42.7891804446","-85.5167384843","Lower Thornapple River"
"195.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C080","42.789536197","-85.5146249229","Lower Thornapple River"
"196.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C079","42.7895353556","-85.5147963667","Lower Thornapple River"
"197.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C067","42.7885787949","-85.5200642446","Lower Thornapple River"
"198.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C126","42.7892204118","-85.5201072355","Lower Thornapple River"
"199.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C125","42.7891221015","-85.5201003923","Lower Thornapple River"
"200.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C202","42.8009739746","-85.5083389122","Lower Thornapple River"
